"year","name",value
"2019","대구광역시",13233
"2019","인천광역시",18522
"2019","광주광역시",8364
"2019","대전광역시",8410
"2019","울산광역시",7539
"2019","세종특별자치시",3819
"2019","경기도",83198
"2019","강원특별자치도",8283
"2019","충청북도",9333
"2019","충청남도",13228
"2019","전라북도",8971
"2019","전라남도",10832
"2019","경상북도",14472
"2019","경상남도",19250
"2019","제주특별자치도",4500
"2020","서울특별시",47445
"2020","부산광역시",15058
"2020","대구광역시",11193
"2020","인천광역시",16040
"2020","광주광역시",7318
"2020","대전광역시",7481
"2020","울산광역시",6617
"2020","세종특별자치시",3468
"2020","경기도",77737
"2020","강원특별자치도",7835
"2020","충청북도",8607
"2020","충청남도",11950
"2020","전라북도",8165
"2020","전라남도",9738
"2020","경상북도",12873
"2020","경상남도",16823
"2020","제주특별자치도",3989
"2021","서울특별시",45531
"2021","부산광역시",14446
"2021","대구광역시",10661
"2021","인천광역시",14947
"2021","광주광역시",7956
"2021","대전광역시",7414
"2021","울산광역시",6127
"2021","세종특별자치시",3570
"2021","경기도",76139
"2021","강원특별자치도",7357
"2021","충청북도",8190
"2021","충청남도",10984
"2021","전라북도",7475
"2021","전라남도",8430
"2021","경상북도",12045
"2021","경상남도",15562
"2021","제주특별자치도",3728
"2022","서울특별시",42602
"2022","부산광역시",14134
"2022","대구광역시",10134
"2022","인천광역시",14464
"2022","광주광역시",7446
"2022","대전광역시",7677
"2022","울산광역시",5399
"2022","세종특별자치시",3209
"2022","경기도",75323
"2022","강원특별자치도",7278
"2022","충청북도",7452
"2022","충청남도",10221
"2022","전라북도",7032
"2022","전라남도",7888
"2022","경상북도",11311
"2022","경상남도",14017
"2022","제주특별자치도",3599
